room_length,room_breadth,furniture_0_x,furniture_0_y,furniture_0_orientation,furniture_0_category,furniture_1_x,furniture_1_y,furniture_1_orientation,furniture_1_category,furniture_2_x,furniture_2_y,furniture_2_orientation,furniture_2_category,furniture_3_x,furniture_3_y,furniture_3_orientation,furniture_3_category,output_furniture_0_x,output_furniture_0_y,output_furniture_0_orientation,output_furniture_0_category,output_furniture_1_x,output_furniture_1_y,output_furniture_1_orientation,output_furniture_1_category,output_furniture_2_x,output_furniture_2_y,output_furniture_2_orientation,output_furniture_2_category,output_furniture_3_x,output_furniture_3_y,output_furniture_3_orientation,output_furniture_3_category
6.4,8.5,2.61,7.54,161.7,wooden_beige_sofa,5.7,0.39,320.13,antique_desk,4.68,0.05,229.92,modern_chair,1.88,4.1,14.5,antique_desk,2.61,7.54,161.7,wooden_beige_sofa,5.7,0.39,320.13,antique_desk,4.68,0.05,229.92,modern_chair,1.88,4.1,14.5,antique_desk
8.73,3.94,7.69,1.98,201.65,antique_desk,6.49,0.66,208.89,modern_chair,3.25,1.61,30.88,leather_vintage_sofa,6.58,2.02,75.54,brown_sofa,7.69,1.98,201.65,antique_desk,6.49,0.66,208.89,modern_chair,3.25,1.61,30.88,leather_vintage_sofa,6.58,2.02,75.54,brown_sofa
8.01,4.82,5.84,1.49,107.12,green_sofa,1.54,3.94,33.87,brown_sofa,0.75,4.15,9.06,coffee_table,0.73,3.88,6.18,coffee_table,5.84,1.49,107.12,green_sofa,1.54,3.94,33.87,brown_sofa,0.75,4.15,9.06,coffee_table,0.73,3.88,6.18,coffee_table
6.18,5.71,5.01,5.17,342.96,hexagonal_top_table,0.12,1.96,9.26,white_armchair,2.69,4.55,190.01,brown_sofa,5.11,2.84,196.81,green_sofa,5.01,5.17,342.96,hexagonal_top_table,0.12,1.96,9.26,white_armchair,2.69,4.55,190.01,brown_sofa,5.11,2.84,196.81,green_sofa
7.12,9.9,1.09,7.17,306.97,leather_vintage_sofa,6.41,8.71,234.73,antique_desk,5.49,9.31,210.3,modern_chair,6.6,1.96,111.41,wooden_beige_sofa,1.09,7.17,306.97,leather_vintage_sofa,6.41,8.71,234.73,antique_desk,5.49,9.31,210.3,modern_chair,6.6,1.96,111.41,wooden_beige_sofa
8.38,9.39,3.33,6.83,254.88,modern_chair,6.07,1.63,29.28,leather_vintage_sofa,8.12,7.22,29.02,antique_desk,5.09,4.77,57.08,hexagonal_top_table,3.33,6.83,254.88,modern_chair,6.07,1.63,29.28,leather_vintage_sofa,8.12,7.22,29.02,antique_desk,5.09,4.77,57.08,hexagonal_top_table
3.31,7.27,1.54,2.76,174.92,green_sofa,2.77,7.06,175.44,leather_vintage_sofa,1.23,3.95,65.13,brown_sofa,1.94,4.91,22.81,brown_sofa,1.54,2.76,174.92,green_sofa,2.77,7.06,175.44,leather_vintage_sofa,1.23,3.95,65.13,brown_sofa,1.94,4.91,22.81,brown_sofa
8.33,5.41,1.55,0.45,191.29,wooden_beige_sofa,8.29,4.03,15.69,antique_desk,2.67,1.14,85.02,red_brown_sofa,1.84,5.37,113.26,modern_chair,1.55,0.45,191.29,wooden_beige_sofa,8.29,4.03,15.69,antique_desk,2.67,1.14,85.02,red_brown_sofa,1.84,5.37,113.26,modern_chair
9.86,9.57,9.54,6.25,173.28,white_armchair,5.26,6.95,342.09,brown_sofa,5.44,1.75,170.7,wooden_beige_sofa,8.45,9.42,10.5,coffee_table,9.54,6.25,173.28,white_armchair,5.26,6.95,342.09,brown_sofa,5.44,1.75,170.7,wooden_beige_sofa,8.45,9.42,10.5,coffee_table
5.95,3.04,5.23,1.6,108.96,red_brown_sofa,3.91,0.4,351.2,white_armchair,5.55,0.82,20.84,green_sofa,1.33,2.58,73.39,antique_desk,5.23,1.6,108.96,red_brown_sofa,3.91,0.4,351.2,white_armchair,5.55,0.82,20.84,green_sofa,1.33,2.58,73.39,antique_desk
8.21,3.53,7.35,2.49,145.26,hexagonal_top_table,4.91,2.48,137.51,white_armchair,0.39,1.54,204.48,green_sofa,3.73,2.86,264.15,wooden_beige_sofa,7.35,2.49,145.26,hexagonal_top_table,4.91,2.48,137.51,white_armchair,0.39,1.54,204.48,green_sofa,3.73,2.86,264.15,wooden_beige_sofa
9.42,8.02,2.91,2.24,11.55,coffee_table,8.62,0.09,153.78,green_sofa,2.31,5.17,71.56,coffee_table,4.04,1.17,155.57,wooden_beige_sofa,2.91,2.24,11.55,coffee_table,8.62,0.09,153.78,green_sofa,2.31,5.17,71.56,coffee_table,4.04,1.17,155.57,wooden_beige_sofa
3.63,4.47,0.25,0.82,83.17,coffee_table,3.61,0.64,199.28,yellow_armchair,2.2,0.01,32.83,white_armchair,2.98,1.19,177.42,wooden_beige_sofa,0.25,0.82,83.17,coffee_table,3.61,0.64,199.28,yellow_armchair,2.2,0.01,32.83,white_armchair,2.98,1.19,177.42,wooden_beige_sofa
8.35,9.21,6.2,7.08,30.9,coffee_table,6.53,3.38,331.4,white_armchair,2.79,4.53,13.74,hexagonal_top_table,6.44,0.31,3.83,antique_desk,6.2,7.08,30.9,coffee_table,6.53,3.38,331.4,white_armchair,2.79,4.53,13.74,hexagonal_top_table,6.44,0.31,3.83,antique_desk
5.81,9.53,5.18,2.13,325.26,leather_vintage_sofa,2.93,6.87,302.62,hexagonal_top_table,5.15,6.47,125.93,hexagonal_top_table,0.35,8.49,278.18,green_sofa,5.18,2.13,325.26,leather_vintage_sofa,2.93,6.87,302.62,hexagonal_top_table,5.15,6.47,125.93,hexagonal_top_table,0.35,8.49,278.18,green_sofa
8.86,7.42,4.1,0.76,280.0,red_brown_sofa,3.26,5.78,69.41,white_armchair,5.84,4.04,215.7,leather_vintage_sofa,0.8,5.59,331.71,antique_desk,4.1,0.76,280.0,red_brown_sofa,3.26,5.78,69.41,white_armchair,5.84,4.04,215.7,leather_vintage_sofa,0.8,5.59,331.71,antique_desk
7.26,4.39,3.77,4.32,100.89,modern_chair,4.04,3.96,46.86,coffee_table,4.91,3.42,184.09,wooden_beige_sofa,0.55,1.31,37.66,brown_sofa,3.77,4.32,100.89,modern_chair,4.04,3.96,46.86,coffee_table,4.91,3.42,184.09,wooden_beige_sofa,0.55,1.31,37.66,brown_sofa
8.93,6.61,0.13,5.61,272.14,brown_sofa,5.37,2.23,35.06,hexagonal_top_table,4.48,2.29,146.67,antique_desk,5.07,5.7,133.9,modern_chair,0.13,5.61,272.14,brown_sofa,5.37,2.23,35.06,hexagonal_top_table,4.48,2.29,146.67,antique_desk,5.07,5.7,133.9,modern_chair
7.05,5.64,1.52,4.23,48.96,modern_chair,2.09,5.36,270.1,yellow_armchair,4.73,2.8,60.11,wooden_beige_sofa,0.82,2.97,230.28,antique_desk,1.52,4.23,48.96,modern_chair,2.09,5.36,270.1,yellow_armchair,4.73,2.8,60.11,wooden_beige_sofa,0.82,2.97,230.28,antique_desk
9.78,6.5,2.1,2.8,11.94,coffee_table,8.28,0.23,207.85,modern_chair,6.18,2.97,211.85,red_brown_sofa,8.31,1.8,128.23,brown_sofa,2.1,2.8,11.94,coffee_table,8.28,0.23,207.85,modern_chair,6.18,2.97,211.85,red_brown_sofa,8.31,1.8,128.23,brown_sofa
3.71,4.97,2.65,0.9,42.53,modern_chair,3.57,3.63,33.67,hexagonal_top_table,0.73,3.5,215.13,modern_chair,1.62,1.05,197.43,coffee_table,2.65,0.9,42.53,modern_chair,3.57,3.63,33.67,hexagonal_top_table,0.73,3.5,215.13,modern_chair,1.62,1.05,197.43,coffee_table
9.69,6.18,2.05,3.98,328.69,antique_desk,3.85,3.29,117.08,brown_sofa,3.57,0.76,67.93,leather_vintage_sofa,0.95,1.69,355.15,red_brown_sofa,2.05,3.98,328.69,antique_desk,3.85,3.29,117.08,brown_sofa,3.57,0.76,67.93,leather_vintage_sofa,0.95,1.69,355.15,red_brown_sofa
4.85,5.88,2.52,5.12,293.45,modern_chair,4.56,3.27,355.11,white_armchair,4.01,3.67,321.84,wooden_beige_sofa,0.91,2.91,268.65,red_brown_sofa,2.52,5.12,293.45,modern_chair,4.56,3.27,355.11,white_armchair,4.01,3.67,321.84,wooden_beige_sofa,0.91,2.91,268.65,red_brown_sofa
3.4,5.48,2.85,5.05,246.96,modern_chair,2.72,2.53,162.41,coffee_table,2.53,2.32,164.34,brown_sofa,3.26,2.13,261.71,antique_desk,2.85,5.05,246.96,modern_chair,2.72,2.53,162.41,coffee_table,2.53,2.32,164.34,brown_sofa,3.26,2.13,261.71,antique_desk
3.09,7.26,0.88,5.08,136.79,white_armchair,0.76,6.3,140.59,yellow_armchair,2.89,5.94,342.68,yellow_armchair,2.21,2.52,43.63,red_brown_sofa,0.88,5.08,136.79,white_armchair,0.76,6.3,140.59,yellow_armchair,2.89,5.94,342.68,yellow_armchair,2.21,2.52,43.63,red_brown_sofa
4.34,4.09,0.36,1.47,53.98,green_sofa,1.18,3.8,319.91,antique_desk,2.14,1.24,88.55,white_armchair,1.43,0.38,343.54,white_armchair,0.36,1.47,53.98,green_sofa,1.18,3.8,319.91,antique_desk,2.14,1.24,88.55,white_armchair,1.43,0.38,343.54,white_armchair
6.83,8.03,3.55,6.89,300.85,hexagonal_top_table,4.14,3.82,136.56,antique_desk,3.77,3.97,252.7,antique_desk,6.09,0.86,191.38,white_armchair,3.55,6.89,300.85,hexagonal_top_table,4.14,3.82,136.56,antique_desk,3.77,3.97,252.7,antique_desk,6.09,0.86,191.38,white_armchair
6.37,3.68,0.7,2.36,299.1,leather_vintage_sofa,5.79,0.43,173.85,wooden_beige_sofa,4.94,2.0,100.35,leather_vintage_sofa,4.13,0.07,318.74,modern_chair,0.7,2.36,299.1,leather_vintage_sofa,5.79,0.43,173.85,wooden_beige_sofa,4.94,2.0,100.35,leather_vintage_sofa,4.13,0.07,318.74,modern_chair
5.38,7.71,3.69,5.57,117.34,antique_desk,4.87,3.13,249.45,white_armchair,4.24,0.1,51.94,green_sofa,4.71,0.4,131.95,coffee_table,3.69,5.57,117.34,antique_desk,4.87,3.13,249.45,white_armchair,4.24,0.1,51.94,green_sofa,4.71,0.4,131.95,coffee_table
8.95,6.58,7.36,6.18,146.7,brown_sofa,3.37,0.91,156.97,brown_sofa,2.36,2.63,187.25,green_sofa,6.68,4.69,113.39,red_brown_sofa,7.36,6.18,146.7,brown_sofa,3.37,0.91,156.97,brown_sofa,2.36,2.63,187.25,green_sofa,6.68,4.69,113.39,red_brown_sofa
5.99,8.83,5.45,0.35,212.77,yellow_armchair,5.55,8.07,260.67,antique_desk,2.61,5.73,28.85,hexagonal_top_table,4.7,7.02,332.0,red_brown_sofa,5.45,0.35,212.77,yellow_armchair,5.55,8.07,260.67,antique_desk,2.61,5.73,28.85,hexagonal_top_table,4.7,7.02,332.0,red_brown_sofa
8.8,6.07,0.43,1.96,106.16,antique_desk,6.85,2.45,258.07,coffee_table,3.19,0.48,349.74,coffee_table,3.6,0.36,168.77,modern_chair,0.43,1.96,106.16,antique_desk,6.85,2.45,258.07,coffee_table,3.19,0.48,349.74,coffee_table,3.6,0.36,168.77,modern_chair
9.99,9.01,3.0,7.86,73.11,leather_vintage_sofa,5.35,7.7,226.77,hexagonal_top_table,1.68,5.2,267.48,yellow_armchair,4.86,2.64,73.81,hexagonal_top_table,3.0,7.86,73.11,leather_vintage_sofa,5.35,7.7,226.77,hexagonal_top_table,1.68,5.2,267.48,yellow_armchair,4.86,2.64,73.81,hexagonal_top_table
6.09,4.78,2.49,3.01,62.76,coffee_table,2.55,2.3,329.29,antique_desk,5.25,2.62,340.87,antique_desk,3.87,3.38,40.02,wooden_beige_sofa,2.49,3.01,62.76,coffee_table,2.55,2.3,329.29,antique_desk,5.25,2.62,340.87,antique_desk,3.87,3.38,40.02,wooden_beige_sofa
9.41,5.94,8.6,4.08,96.28,yellow_armchair,8.86,0.09,2.51,white_armchair,5.69,0.62,260.53,wooden_beige_sofa,3.06,0.67,23.65,modern_chair,8.6,4.08,96.28,yellow_armchair,8.86,0.09,2.51,white_armchair,5.69,0.62,260.53,wooden_beige_sofa,3.06,0.67,23.65,modern_chair
6.42,3.0,2.4,0.1,230.64,hexagonal_top_table,2.53,0.15,179.22,green_sofa,4.89,1.41,317.94,antique_desk,2.77,1.8,24.2,brown_sofa,2.4,0.1,230.64,hexagonal_top_table,2.53,0.15,179.22,green_sofa,4.89,1.41,317.94,antique_desk,2.77,1.8,24.2,brown_sofa
9.39,9.74,3.59,0.73,204.15,hexagonal_top_table,6.73,6.21,0.78,antique_desk,1.39,2.05,291.63,antique_desk,4.9,2.7,81.63,brown_sofa,3.59,0.73,204.15,hexagonal_top_table,6.73,6.21,0.78,antique_desk,1.39,2.05,291.63,antique_desk,4.9,2.7,81.63,brown_sofa
7.13,9.45,3.75,4.79,28.86,antique_desk,4.13,8.06,235.21,white_armchair,5.77,3.42,351.68,leather_vintage_sofa,5.76,2.41,87.95,white_armchair,3.75,4.79,28.86,antique_desk,4.13,8.06,235.21,white_armchair,5.77,3.42,351.68,leather_vintage_sofa,5.76,2.41,87.95,white_armchair
5.45,8.42,1.42,0.09,3.58,yellow_armchair,3.96,3.9,139.15,white_armchair,4.58,5.53,171.8,yellow_armchair,0.07,8.29,189.16,red_brown_sofa,1.42,0.09,3.58,yellow_armchair,3.96,3.9,139.15,white_armchair,4.58,5.53,171.8,yellow_armchair,0.07,8.29,189.16,red_brown_sofa
8.51,3.42,7.94,1.01,18.54,modern_chair,4.97,0.56,314.64,wooden_beige_sofa,7.71,2.84,260.76,yellow_armchair,3.78,1.62,143.57,wooden_beige_sofa,7.94,1.01,18.54,modern_chair,4.97,0.56,314.64,wooden_beige_sofa,7.71,2.84,260.76,yellow_armchair,3.78,1.62,143.57,wooden_beige_sofa
8.88,8.82,7.49,7.08,256.31,coffee_table,0.29,0.47,126.66,coffee_table,1.23,6.77,262.1,antique_desk,6.24,4.34,203.96,antique_desk,7.49,7.08,256.31,coffee_table,0.29,0.47,126.66,coffee_table,1.23,6.77,262.1,antique_desk,6.24,4.34,203.96,antique_desk
4.75,7.89,0.46,1.64,67.34,modern_chair,4.0,0.13,43.98,leather_vintage_sofa,2.37,3.04,220.39,brown_sofa,2.96,3.79,284.36,yellow_armchair,0.46,1.64,67.34,modern_chair,4.0,0.13,43.98,leather_vintage_sofa,2.37,3.04,220.39,brown_sofa,2.96,3.79,284.36,yellow_armchair
5.85,7.07,5.13,2.65,156.07,brown_sofa,2.63,2.32,76.58,coffee_table,2.06,4.04,121.78,yellow_armchair,3.54,0.9,104.61,leather_vintage_sofa,5.13,2.65,156.07,brown_sofa,2.63,2.32,76.58,coffee_table,2.06,4.04,121.78,yellow_armchair,3.54,0.9,104.61,leather_vintage_sofa
8.38,8.36,2.65,3.24,355.54,green_sofa,4.85,2.16,344.84,antique_desk,4.22,1.95,132.8,coffee_table,2.12,5.58,243.66,hexagonal_top_table,2.65,3.24,355.54,green_sofa,4.85,2.16,344.84,antique_desk,4.22,1.95,132.8,coffee_table,2.12,5.58,243.66,hexagonal_top_table
3.46,6.3,0.92,3.17,98.42,brown_sofa,2.29,5.8,113.52,coffee_table,1.69,4.51,343.56,brown_sofa,0.28,3.69,322.4,wooden_beige_sofa,0.92,3.17,98.42,brown_sofa,2.29,5.8,113.52,coffee_table,1.69,4.51,343.56,brown_sofa,0.28,3.69,322.4,wooden_beige_sofa
8.63,3.46,6.13,1.86,50.67,red_brown_sofa,1.74,1.91,123.38,yellow_armchair,7.38,3.43,36.13,yellow_armchair,7.99,2.52,305.0,hexagonal_top_table,6.13,1.86,50.67,red_brown_sofa,1.74,1.91,123.38,yellow_armchair,7.38,3.43,36.13,yellow_armchair,7.99,2.52,305.0,hexagonal_top_table
3.77,5.46,3.69,3.89,66.95,coffee_table,1.54,4.95,332.07,yellow_armchair,0.16,2.27,71.64,green_sofa,2.95,1.19,335.04,modern_chair,3.69,3.89,66.95,coffee_table,1.54,4.95,332.07,yellow_armchair,0.16,2.27,71.64,green_sofa,2.95,1.19,335.04,modern_chair
7.7,10.0,3.82,1.91,268.36,red_brown_sofa,4.54,2.6,310.37,brown_sofa,4.03,3.1,101.73,leather_vintage_sofa,6.18,7.93,269.56,hexagonal_top_table,3.82,1.91,268.36,red_brown_sofa,4.54,2.6,310.37,brown_sofa,4.03,3.1,101.73,leather_vintage_sofa,6.18,7.93,269.56,hexagonal_top_table
9.87,6.49,6.84,2.23,163.42,white_armchair,5.82,2.18,164.91,white_armchair,4.83,1.88,112.21,wooden_beige_sofa,2.74,3.76,344.94,white_armchair,6.84,2.23,163.42,white_armchair,5.82,2.18,164.91,white_armchair,4.83,1.88,112.21,wooden_beige_sofa,2.74,3.76,344.94,white_armchair
6.12,9.99,0.17,1.42,112.2,white_armchair,1.96,4.86,253.59,green_sofa,1.97,9.74,325.57,brown_sofa,5.23,7.59,181.85,white_armchair,0.17,1.42,112.2,white_armchair,1.96,4.86,253.59,green_sofa,1.97,9.74,325.57,brown_sofa,5.23,7.59,181.85,white_armchair
9.4,8.01,7.61,3.87,127.79,leather_vintage_sofa,2.96,2.68,245.17,red_brown_sofa,3.0,2.29,284.78,coffee_table,1.64,0.1,202.25,white_armchair,7.61,3.87,127.79,leather_vintage_sofa,2.96,2.68,245.17,red_brown_sofa,3.0,2.29,284.78,coffee_table,1.64,0.1,202.25,white_armchair
8.46,8.73,2.14,7.72,97.72,coffee_table,4.35,3.85,151.13,leather_vintage_sofa,2.69,5.26,26.51,wooden_beige_sofa,1.8,1.87,283.02,leather_vintage_sofa,2.14,7.72,97.72,coffee_table,4.35,3.85,151.13,leather_vintage_sofa,2.69,5.26,26.51,wooden_beige_sofa,1.8,1.87,283.02,leather_vintage_sofa
4.8,4.08,1.5,2.09,254.69,hexagonal_top_table,3.53,0.54,160.67,antique_desk,2.8,3.91,60.18,green_sofa,4.51,0.25,139.56,coffee_table,1.5,2.09,254.69,hexagonal_top_table,3.53,0.54,160.67,antique_desk,2.8,3.91,60.18,green_sofa,4.51,0.25,139.56,coffee_table
8.88,7.59,3.09,7.07,93.75,red_brown_sofa,6.83,5.46,213.71,red_brown_sofa,5.19,1.98,265.89,red_brown_sofa,8.06,0.04,197.26,leather_vintage_sofa,3.09,7.07,93.75,red_brown_sofa,6.83,5.46,213.71,red_brown_sofa,5.19,1.98,265.89,red_brown_sofa,8.06,0.04,197.26,leather_vintage_sofa
6.89,4.31,1.75,3.83,165.49,modern_chair,3.69,4.19,343.2,wooden_beige_sofa,1.55,1.46,299.14,brown_sofa,5.73,3.88,337.57,modern_chair,1.75,3.83,165.49,modern_chair,3.69,4.19,343.2,wooden_beige_sofa,1.55,1.46,299.14,brown_sofa,5.73,3.88,337.57,modern_chair
9.83,3.44,9.2,0.96,160.2,green_sofa,8.68,1.99,324.05,antique_desk,1.65,1.88,5.19,brown_sofa,6.05,3.31,140.72,wooden_beige_sofa,9.2,0.96,160.2,green_sofa,8.68,1.99,324.05,antique_desk,1.65,1.88,5.19,brown_sofa,6.05,3.31,140.72,wooden_beige_sofa
4.39,6.95,4.15,2.08,36.24,coffee_table,3.11,5.36,332.46,modern_chair,2.26,4.42,286.74,white_armchair,0.29,6.6,286.33,hexagonal_top_table,4.15,2.08,36.24,coffee_table,3.11,5.36,332.46,modern_chair,2.26,4.42,286.74,white_armchair,0.29,6.6,286.33,hexagonal_top_table
8.06,8.77,4.91,3.32,139.34,yellow_armchair,3.57,3.12,226.67,yellow_armchair,5.88,6.71,93.63,hexagonal_top_table,2.04,3.63,220.19,yellow_armchair,4.91,3.32,139.34,yellow_armchair,3.57,3.12,226.67,yellow_armchair,5.88,6.71,93.63,hexagonal_top_table,2.04,3.63,220.19,yellow_armchair
9.46,5.83,3.37,2.77,6.79,green_sofa,1.34,1.13,327.5,green_sofa,0.82,2.38,286.68,coffee_table,6.83,4.62,312.49,brown_sofa,3.37,2.77,6.79,green_sofa,1.34,1.13,327.5,green_sofa,0.82,2.38,286.68,coffee_table,6.83,4.62,312.49,brown_sofa
4.74,3.73,2.69,0.54,114.96,white_armchair,1.03,3.43,248.96,coffee_table,3.45,0.16,85.35,white_armchair,1.06,2.46,95.81,leather_vintage_sofa,2.69,0.54,114.96,white_armchair,1.03,3.43,248.96,coffee_table,3.45,0.16,85.35,white_armchair,1.06,2.46,95.81,leather_vintage_sofa
5.0,5.53,3.37,3.7,228.97,coffee_table,4.56,5.41,264.09,modern_chair,2.17,2.53,337.94,leather_vintage_sofa,1.21,5.35,3.8,leather_vintage_sofa,3.37,3.7,228.97,coffee_table,4.56,5.41,264.09,modern_chair,2.17,2.53,337.94,leather_vintage_sofa,1.21,5.35,3.8,leather_vintage_sofa
7.25,6.78,6.28,1.15,113.29,yellow_armchair,4.83,5.49,332.68,brown_sofa,1.3,4.77,131.67,green_sofa,4.32,6.38,72.51,brown_sofa,6.28,1.15,113.29,yellow_armchair,4.83,5.49,332.68,brown_sofa,1.3,4.77,131.67,green_sofa,4.32,6.38,72.51,brown_sofa
8.77,3.59,1.79,1.81,40.99,antique_desk,3.1,2.47,48.02,leather_vintage_sofa,1.82,1.34,29.0,modern_chair,5.03,1.5,28.93,green_sofa,1.79,1.81,40.99,antique_desk,3.1,2.47,48.02,leather_vintage_sofa,1.82,1.34,29.0,modern_chair,5.03,1.5,28.93,green_sofa
9.67,4.74,6.47,3.83,232.78,antique_desk,1.15,0.27,245.31,green_sofa,8.4,0.16,331.81,brown_sofa,8.99,0.84,225.33,hexagonal_top_table,6.47,3.83,232.78,antique_desk,1.15,0.27,245.31,green_sofa,8.4,0.16,331.81,brown_sofa,8.99,0.84,225.33,hexagonal_top_table
7.94,4.21,5.09,1.99,265.82,hexagonal_top_table,4.66,1.43,329.08,wooden_beige_sofa,1.73,1.33,76.14,antique_desk,6.33,1.82,144.48,wooden_beige_sofa,5.09,1.99,265.82,hexagonal_top_table,4.66,1.43,329.08,wooden_beige_sofa,1.73,1.33,76.14,antique_desk,6.33,1.82,144.48,wooden_beige_sofa
6.2,7.68,2.35,4.06,88.26,antique_desk,0.23,1.56,269.74,wooden_beige_sofa,2.25,6.92,39.45,leather_vintage_sofa,0.43,0.45,141.79,antique_desk,2.35,4.06,88.26,antique_desk,0.23,1.56,269.74,wooden_beige_sofa,2.25,6.92,39.45,leather_vintage_sofa,0.43,0.45,141.79,antique_desk
8.26,3.86,6.36,3.43,228.28,modern_chair,3.16,1.24,237.56,yellow_armchair,5.19,0.46,143.19,brown_sofa,4.18,0.98,0.14,yellow_armchair,6.36,3.43,228.28,modern_chair,3.16,1.24,237.56,yellow_armchair,5.19,0.46,143.19,brown_sofa,4.18,0.98,0.14,yellow_armchair
5.02,6.39,4.3,1.57,230.59,coffee_table,4.16,3.06,206.0,white_armchair,4.4,5.69,316.74,leather_vintage_sofa,1.16,1.07,29.08,yellow_armchair,4.3,1.57,230.59,coffee_table,4.16,3.06,206.0,white_armchair,4.4,5.69,316.74,leather_vintage_sofa,1.16,1.07,29.08,yellow_armchair
9.48,4.21,0.17,3.4,62.6,wooden_beige_sofa,3.23,3.88,236.77,green_sofa,8.5,0.37,62.26,leather_vintage_sofa,5.41,3.71,117.03,red_brown_sofa,0.17,3.4,62.6,wooden_beige_sofa,3.23,3.88,236.77,green_sofa,8.5,0.37,62.26,leather_vintage_sofa,5.41,3.71,117.03,red_brown_sofa
8.13,8.16,4.11,1.06,22.37,red_brown_sofa,1.64,1.44,90.83,yellow_armchair,4.69,4.74,300.76,coffee_table,3.24,5.21,56.45,white_armchair,4.11,1.06,22.37,red_brown_sofa,1.64,1.44,90.83,yellow_armchair,4.69,4.74,300.76,coffee_table,3.24,5.21,56.45,white_armchair
